Stellar Radius (Solar Radii), Stellar Mass (Solar Mass), Stellar Teff (K), Distance (pc)
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.86,0.98,4700.0,49.9605
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.87,1.12,5079.0,141.837
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.75,0.83,5052.0,19.7638
0.75,0.83,5052.0,19.7638
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.59,0.58,4143.0,49.7876
0.86,0.98,4700.0,49.9605
0.86,0.98,4700.0,49.9605
0.86,0.98,4700.0,49.9605
0.86,0.98,4700.0,49.9605
0.66,0.68,4425.0,64.7414
0.66,0.68,4425.0,64.7414
0.66,0.68,4425.0,64.7414
0.66,0.68,4425.0,64.7414
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.46,0.47,3586.11,9.75321
0.5,0.5,3652.0,29.4214
0.5,0.5,3652.0,29.4214
0.5,0.5,3652.0,29.4214
0.5,0.5,3652.0,29.4214
0.22,0.18,3101.0,14.6427
0.22,0.18,3101.0,14.6427
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.45,0.33,4031.81,47.5501
0.45,0.33,4031.81,47.5501
0.45,0.33,4031.81,47.5501
0.45,0.33,4031.81,47.5501
0.45,0.33,4031.81,47.5501
0.45,0.33,4031.81,47.5501
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
0.76,0.82,5020.38,3.2026
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.77,7883.0,86.2279
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.46,1.36,6776.0,269.898
0.95,0.77,5443.0,80.4373
1.17,1.15,5980.0,158.979
1.17,1.15,5980.0,158.979
0.79,0.87,5008.37,174.818
1.33,0.95,5620.0,159.507
0.59,0.58,4143.0,49.7876
0.66,0.68,4425.0,64.7414
0.66,0.68,4425.0,64.7414
0.5,0.5,3652.0,29.4214
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.34,0.34,3505.0,9.44181
not found,not found,not found,not found
not found,not found,not found,not found
0.18,0.14,2960.0,26.4927
not found,not found,not found,not found
0.6,0.58,4400.0,86.7467
0.66,0.68,4425.0,64.7414
0.79,0.87,5008.37,174.818
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
1.47,1.3,6785.0,34.0071
1.47,1.3,6785.0,34.0071
1.47,1.3,6785.0,34.0071
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.75,0.83,5052.0,19.7638
0.75,0.83,5052.0,19.7638
1.18,1.13,6091.0,48.3016
1.18,1.13,6091.0,48.3016
1.18,1.13,6091.0,48.3016
1.18,1.13,6091.0,48.3016
1.41,1.42,6179.0,75.8643
1.41,1.42,6179.0,75.8643
1.41,1.42,6179.0,75.8643
1.41,1.42,6179.0,75.8643
1.01,0.97,5616.0,268.325
0.91,0.9,5617.0,105.166
0.22,0.19,3229.0,12.613
,0.62,9552.0,19.2444
,0.62,9552.0,19.2444
,0.62,9552.0,19.2444
,0.62,9552.0,19.2444
,0.62,9552.0,19.2444
,0.62,9552.0,19.2444
1.49,1.77,7883.0,86.2279
1.49,1.77,7883.0,86.2279
1.49,1.77,7883.0,86.2279
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
2.12,1.5,6516.0,103.029
2.12,1.5,6516.0,103.029
2.12,1.5,6516.0,103.029
2.12,1.5,6516.0,103.029
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.66,0.68,4425.0,64.7414
0.7,0.73,4650.0,142.751
0.7,0.73,4650.0,142.751
0.7,0.73,4650.0,142.751
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.87,1.12,5079.0,141.837
0.87,1.12,5079.0,141.837
0.87,1.12,5079.0,141.837
0.87,1.12,5079.0,141.837
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
1.49,2.28,6550.0,405.908
1.49,2.28,6550.0,405.908
1.49,2.28,6550.0,405.908
1.49,2.28,6550.0,405.908
1.49,2.28,6550.0,405.908
1.49,2.28,6550.0,405.908
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
0.38,0.39,3506.0,22.4793
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.5,7204.58,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
1.49,1.51,7400.0,41.2441
0.5,0.5,3652.0,29.4214
